h,l,s2,s2_err,type
0.8500000000000003,7,0.7098495324452718,0.002892494671907141,interpolated
0.8500000000000003,8,0.7108108520507812,0.002421557059084738,interpolated
0.9000000000000004,1,0.4453466733296712,0.003174002667370978,interpolated
0.9000000000000004,2,0.5644638061523437,0.0030641922544144525,interpolated
0.9000000000000004,3,0.6196865399678548,0.006268473843211709,interpolated
0.9000000000000004,4,0.6511773427327474,0.00370429344122809,interpolated
0.9000000000000004,5,0.680792490641276,0.002800810726171493,interpolated
0.9000000000000004,6,0.6888426780700684,0.0032907434956397537,interpolated
0.9000000000000004,7,0.6980613072713217,0.0034929061343483437,interpolated
0.9000000000000004,8,0.6988415241241455,0.003172287220574396,interpolated
0.95,1,0.3993530591328939,0.002627183807037801,support
0.95,2,0.5121418476104737,0.003594179017008396,support
0.95,3,0.5666290442148845,0.0035960640539288396,support
0.95,4,0.6050884087880453,0.0030109078404559485,support
0.95,5,0.6355118592580159,0.0030114003967547727,support
0.95,6,0.6494284629821777,0.0034954666565005245,support
0.95,7,0.6580797513326009,0.003101469453103626,support
0.95,8,0.6539612452189127,0.006208389308896621,support
1.0,1,0.3538427988688151,0.002603920615916732,support
1.0,2,0.4530644734700521,0.0032881383017399238,support
1.0,3,0.5082755247751872,0.00289896486468251,support
1.0,4,0.5383541584014893,0.004080318250987466,support
1.0,5,0.5719670454661051,0.0037034080577916955,support
1.0,6,0.5837160587310791,0.003670303309811409,support
1.0,7,0.5855575561523437,0.004302378531897569,support
1.0,8,0.5972204049428304,0.003583656113835694,support
1.05,1,0.307121213277181,0.002935394715390697,support
1.05,2,0.38982909520467124,0.002847622090688361,support
1.05,3,0.4315013885498047,0.003356947606106316,support
1.05,4,0.4651156107584635,0.0033881821247945584,support
1.05,5,0.491214386622111,0.003408650180072328,support
1.05,6,0.4977426052093506,0.004512254603728263,support
1.05,7,0.5033495744069417,0.0037446708341281254,support
1.05,8,0.5064469973246256,0.003849428935194791,support
1.1000000000000005,1,0.2703624407450358,0.002029305956920902,interpolated
1.1000000000000005,2,0.33367656071980795,0.002782129503614918,interpolated
1.1000000000000005,3,0.3669183413187663,0.00254730802778728,interpolated
1.1000000000000005,4,0.39060134887695314,0.0026349477197256527,interpolated
1.1000000000000005,5,0.4080657641092936,0.0026571713479184296,interpolated
1.1000000000000005,6,0.41253897349039714,0.002644634303108811,interpolated
1.1000000000000005,7,0.4167684237162272,0.002504382270086993,interpolated
1.1000000000000005,8,0.4156222661336263,0.003463294105522823,interpolated
1.1500000000000006,1,0.23610591888427734,0.002049947000867397,interpolated
1.1500000000000006,2,0.2881978352864583,0.0018898151544608404,interpolated
1.1500000000000006,3,0.30518178939819335,0.002312831325441366,interpolated
1.1500000000000006,4,0.32203966776529946,0.0024751712409375403,interpolated
1.1500000000000006,5,0.3372346878051758,0.0022718317780094748,interpolated
1.1500000000000006,6,0.33634360631306964,0.002232855272484256,interpolated
1.1500000000000006,7,0.3443895975748698,0.002524915028697357,interpolated
1.1500000000000006,8,0.34295660654703775,0.002706614784338344,interpolated
1.2,1,0.20763152440388996,0.001876665423601833,support
1.2,2,0.24578339258829754,0.00192471314540228,support
1.2,3,0.2628201802571615,0.002059731867578664,support
1.2,4,0.27159064610799155,0.001986258726733215,support
1.2,5,0.27723064422607424,0.0020382537801392777,support
1.2,6,0.27654323577880857,0.002390727321974253,support
1.2,7,0.2824482599894206,0.002179748098045719,support
1.2,8,0.2820974032084147,0.0018543426173531995,support
1.2500000000000007,1,0.18217986424763996,0.0018649207830536343,interpolated
1.2500000000000007,2,0.2167361259460449,0.0021541793567578208,interpolated
1.2500000000000007,3,0.22905263900756836,0.001730061007017195,interpolated
1.2500000000000007,4,0.23373835881551105,0.002008917480676165,interpolated
1.2500000000000007,5,0.23634751637776694,0.0013146097308270534,interpolated
1.2500000000000007,6,0.23600498835245767,0.0018005302623659868,interpolated
1.2500000000000007,7,0.23790594736735027,0.002150615215411081,interpolated
1.2500000000000007,8,0.23947614034016926,0.0020063306607817637,interpolated
1.3000000000000007,1,0.16752614974975585,0.0018029246295599773,interpolated
1.3000000000000007,2,0.19878002802530925,0.001565183770557629,interpolated
1.3000000000000007,3,0.20341962178548176,0.0018909646731556742,interpolated
1.3000000000000007,4,0.2058156967163086,0.001629569455733373,interpolated
1.3000000000000007,5,0.20888725916544595,0.001679857030478707,interpolated
1.3000000000000007,6,0.2080561637878418,0.0018820918478005496,interpolated
1.3000000000000007,7,0.20978676478068034,0.0017665933982457434,interpolated
1.3000000000000007,8,0.21147801081339518,0.0019121614117374,interpolated
1.3500000000000008,1,0.1487062136332194,0.0014386236547352638,interpolated
1.3500000000000008,2,0.17780749003092447,0.002071712201696484,interpolated
1.3500000000000008,3,0.18503360748291015,0.0019546902190627265,interpolated
1.3500000000000008,4,0.1851689020792643,0.001464484750261969,interpolated
1.3500000000000008,5,0.18426434199015299,0.0017473405955562545,interpolated
1.3500000000000008,6,0.18630523681640626,0.0015200770590197287,interpolated
1.3500000000000008,7,0.18699347178141276,0.0014348511963004457,interpolated
1.3500000000000008,8,0.18727782567342122,0.0018916952972626135,interpolated
1.4000000000000008,1,0.13954703013102213,0.001605752717533626,interpolated
1.4000000000000008,2,0.16281197865804037,0.0015357251582383893,interpolated
1.4000000000000008,3,0.16817878087361654,0.001465020517692576,interpolated
1.4000000000000008,4,0.16906045277913412,0.0017724153406609578,interpolated
1.4000000000000008,5,0.16871589024861652,0.0016702396357855332,interpolated
