h,l,type,s2,seed,model_file
9.000000e-01,4,novel,6.610756e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,5,novel,6.851044e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,6,novel,6.895952e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,7,novel,7.041340e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,8,novel,7.065258e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,1,support,4.012089e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,2,support,5.162668e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,3,support,5.778999e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,4,support,5.995903e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,5,support,6.295242e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,6,support,6.511192e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,7,support,6.595936e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,8,support,6.476784e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,1,support,3.586750e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,2,support,4.565678e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,3,support,5.168781e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,4,support,5.434036e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,5,support,5.594120e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,6,support,5.762215e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,7,support,5.633898e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
