stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage1_coarse,256,0.01,11,30,0.5690153301506939,20,0.47954014369556325,1.2439203662338367
stage1_coarse,256,0.01,17,30,0.8956520850679863,27,0.6716763236398691,0.56886074896847
stage1_coarse,256,0.03,11,30,0.6652932682385473,15,0.27055006612654287,1.1018459370427833
stage1_coarse,256,0.03,17,30,0.8558098825979382,11,0.16020474109300642,2.0127027980773127
stage1_coarse,512,0.0001,11,30,0.12633580785158544,30,0.12633580785158544,1.4850561142256722
stage1_coarse,512,0.0001,17,30,0.03536606785669651,8,0.025233483669165214,1.8529065537092013
stage1_coarse,512,0.0003,11,30,0.26994260732081526,30,0.26994260732081526,0.7847769047975462
stage1_coarse,512,0.0003,17,30,0.035425124068623096,3,0.004485961531498665,1.01666273053743
stage1_coarse,512,0.001,11,30,0.29083448298399417,14,0.2681845143819848,0.5469893184845481
stage1_coarse,512,0.001,17,30,0.11734829232696344,30,0.11734829232696344,0.54886546381662
stage1_coarse,512,0.003,11,30,0.2906488236435722,5,0.2735807518987789,0.48232719516483896
stage1_coarse,512,0.003,17,30,0.1729813748746695,30,0.1729813748746695,0.5034529906478018
stage1_coarse,512,0.01,11,30,0.5244356885417781,30,0.5244356885417781,0.3147629065776534
stage1_coarse,512,0.01,17,30,0.3142612783222674,30,0.3142612783222674,0.3314970779243197
stage1_coarse,512,0.03,11,30,0.6297493130259165,24,0.6200346709400387,0.3186406165867098
stage1_coarse,512,0.03,17,30,0.8825545411496059,19,0.2680452841950273,1.225220155045946
