stage,batch_size,learning_rate,seed,epochs,best_fidelity,best_epoch,final_fidelity,final_kl
stage2_refine,128,0.03,17,60,0.8621127580898487,6,1.134520996882999e-08,14.754052170470485
stage2_refine,128,0.03,23,60,0.7262263210898376,6,0.21161616076959847,5.320529471193191
stage2_refine,128,0.031622776602,11,60,0.6263832187821108,8,0.2561643872546258,9.142797871480694
stage2_refine,128,0.031622776602,17,60,0.7348612781347642,6,0.1908639422320045,11.828878554257694
stage2_refine,128,0.031622776602,23,60,0.877667413760239,5,0.3810951887640167,2.7364464227450815
stage2_refine,128,0.094868329805,11,60,0.8673694136217537,2,0.14001994426332054,6.514152727766203
stage2_refine,128,0.094868329805,17,60,0.7048484296021053,2,0.14411274973568003,6.798553651317826
stage2_refine,128,0.094868329805,23,60,0.8879224296868886,2,0.24387794631087048,5.466581236921619
stage2_refine,256,0.00316227766,11,60,0.5509645632090899,57,0.5420567914145369,0.5318895987512017
stage2_refine,256,0.00316227766,17,60,0.39954489246941327,60,0.39954489246941327,0.3192732855199564
stage2_refine,256,0.00316227766,23,60,0.16410605021748184,60,0.16410605021748184,0.21759458671502405
stage2_refine,256,0.009486832981,11,60,0.6660859644714071,37,0.2879906085232306,1.102074002594259
stage2_refine,256,0.009486832981,17,60,0.871368440096651,28,0.14864658902480632,2.408864358445983
stage2_refine,256,0.009486832981,23,60,0.550949371254205,39,0.31499098616130905,1.8718219176090738
stage2_refine,256,0.01,11,60,0.6589747809986888,34,0.2831467016820446,1.1329666529112783
stage2_refine,256,0.01,17,60,0.8956520850679863,27,0.3256794420471178,2.9959308044439408
stage2_refine,256,0.01,23,60,0.5155433744251708,41,0.32415216883125625,1.7569482813124584
stage2_refine,256,0.03,11,60,0.6652932682385473,15,0.1637683537012623,3.0151152906877248
stage2_refine,256,0.03,17,60,0.8558098825979382,11,0.13645900133289027,3.422948905944947
stage2_refine,256,0.03,23,60,0.8663463599405038,9,0.11205960741282897,3.5357747488929303
stage2_refine,256,0.031622776602,11,60,0.6407139448933143,15,0.16071835244516716,2.9840172901375395
stage2_refine,256,0.031622776602,17,60,0.8712288631452733,10,0.24616066245031784,1.3653500276217805
stage2_refine,256,0.031622776602,23,60,0.8310638557167376,9,0.34847267742539356,0.9644273135808914
