h,l,s2,s2_err,type
0.8,2,0.6268913904825847,0.0031150819959593927,support
0.8,3,0.678591521581014,0.0022537641254636222,support
0.8,4,0.693679682413737,0.002515496994460252,support
0.8,5,0.7024368445078532,0.0023412680488136893,support
0.8,6,0.7079072157541911,0.0023739011445561738,support
0.8,7,0.7134323914845785,0.0024130477445200222,support
0.8,8,0.7109753608703613,0.002186914687411498,support
0.8500000000000003,1,0.4748596509297689,0.003366980583310567,interpolated
0.8500000000000003,2,0.5952797889709472,0.0030405589446898086,interpolated
0.8500000000000003,3,0.6551887671152751,0.002558431273753632,interpolated
0.8500000000000003,4,0.6791671435038249,0.0024354470706930676,interpolated
0.8500000000000003,5,0.6915906270345052,0.002630024412504479,interpolated
0.8500000000000003,6,0.7002964973449707,0.002411065822611741,interpolated
0.8500000000000003,7,0.704287608464559,0.0023288599330876887,interpolated
0.8500000000000003,8,0.7031583468119303,0.0029736296031150555,interpolated
0.9000000000000004,1,0.443277645111084,0.0027505808277579636,interpolated
0.9000000000000004,2,0.5565014521280924,0.004270256065714951,interpolated
0.9000000000000004,3,0.6191789627075195,0.004605070219843129,interpolated
0.9000000000000004,4,0.6495385646820069,0.0031609005532423815,interpolated
0.9000000000000004,5,0.6724948247273763,0.0031847054470787502,interpolated
0.9000000000000004,6,0.6820058504740397,0.00402481502485652,interpolated
0.9000000000000004,7,0.6902709801991781,0.0042975948911962835,interpolated
0.9000000000000004,8,0.6921588102976481,0.003695430457338572,interpolated
0.95,1,0.3932468096415202,0.0024763569755536377,support
0.95,2,0.5041230678558349,0.0025382975105417657,support
0.95,3,0.5665552457173665,0.0038601548760723225,support
0.95,4,0.6055823961893717,0.003288823510750965,support
0.95,5,0.6282779057820638,0.002750700860626352,support
0.95,6,0.6360499540964762,0.004395039209213886,support
0.95,7,0.6418831030527751,0.009476302757099127,support
0.95,8,0.6535698890686035,0.0029969573017362386,support
1.0,1,0.352576478322347,0.0024554258710742746,support
1.0,2,0.446271006266276,0.0029068292769709064,support
1.0,3,0.4966247717539469,0.003576199934774398,support
1.0,4,0.5382417201995849,0.003033282878379051,support
1.0,5,0.5590626716613769,0.002393649029292112,support
1.0,6,0.5613871097564698,0.0035001582332911093,support
1.0,7,0.570772933959961,0.004011700312667366,support
1.0,8,0.5770544528961181,0.0031835281686543116,support
1.05,1,0.3102476437886556,0.0023423372458680467,support
1.05,2,0.39249518712361653,0.0028548573115190264,support
1.05,3,0.4294915517171224,0.0027068022694380434,support
1.05,4,0.45952011744181315,0.0029196898490029444,support
1.05,5,0.4794106165568034,0.003306020351190301,support
1.05,6,0.4830230394999186,0.00279788353476547,support
1.05,7,0.4955127716064453,0.0029738790421683092,support
1.05,8,0.49795144399007163,0.003221412929553667,support
1.1000000000000005,1,0.2704696973164876,0.0024649518103147337,interpolated
1.1000000000000005,2,0.33913199106852215,0.002850401857847618,interpolated
1.1000000000000005,3,0.3696240743001302,0.0028518439571862063,interpolated
1.1000000000000005,4,0.38977394104003904,0.002764556531697723,interpolated
1.1000000000000005,5,0.4062309900919596,0.0031434634246257144,interpolated
1.1000000000000005,6,0.4013866424560547,0.0027365329752921884,interpolated
1.1000000000000005,7,0.40830469131469727,0.0023364347433195553,interpolated
1.1000000000000005,8,0.413228448232015,0.0029811590277534785,interpolated
1.1500000000000006,1,0.23631347020467122,0.002157505215987005,interpolated
1.1500000000000006,2,0.29240261713663734,0.002535064432514332,interpolated
1.1500000000000006,3,0.3111978530883789,0.0025418183635826683,interpolated
1.1500000000000006,4,0.3217004140218099,0.002369762549663284,interpolated
1.1500000000000006,5,0.33804286321004234,0.0023963824058023555,interpolated
1.1500000000000006,6,0.32889957427978517,0.002359455660060653,interpolated
1.1500000000000006,7,0.3342778523763021,0.0025927714401580825,interpolated
1.1500000000000006,8,0.3424706776936849,0.0019356260611039168,interpolated
1.2,1,0.21398064295450847,0.001983677144029452,support
1.2,2,0.25620530446370443,0.002345997301358229,support
1.2,3,0.26780223846435547,0.002802385900662801,support
1.2,4,0.2742950757344564,0.0023868665048886145,support
1.2,5,0.28344529469807944,0.0022522263303528106,support
1.2,6,0.2762090047200521,0.002722679200519884,support
1.2,7,0.2787659009297689,0.002536337534793266,support
1.2,8,0.2841377258300781,0.002246402792673543,support
1.2500000000000007,1,0.1868474324544271,0.0021085287139600327,interpolated
1.2500000000000007,2,0.22313035329182943,0.0019434774842204076,interpolated
1.2500000000000007,3,0.23403180440266927,0.002106696082986688,interpolated
1.2500000000000007,4,0.23548784255981445,0.002193370192475076,interpolated
