h,l,type,s2,seed,model_file
8.000000e-01,4,support,6.957541e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,5,support,6.953459e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,6,support,7.000933e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,7,support,7.089272e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,8,support,7.076654e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,1,novel,4.841976e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,2,novel,5.814180e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,3,novel,6.611404e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,4,novel,6.878500e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,5,novel,7.001648e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,6,novel,7.053318e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,7,novel,7.130928e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,8,novel,7.104759e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,1,novel,4.555397e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,2,novel,5.534964e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,3,novel,6.284304e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,4,novel,6.558027e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,5,novel,7.030172e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,6,novel,7.063379e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,7,novel,6.562252e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,8,novel,7.067146e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,1,support,3.956051e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,2,support,5.178223e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,3,support,5.688534e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,4,support,5.867844e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,5,support,6.413145e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,6,support,6.470785e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,7,support,6.689711e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.500000e-01,8,support,6.718788e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,1,support,3.465681e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,2,support,4.386024e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,3,support,5.206318e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,4,support,5.465775e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,5,support,5.848408e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,6,support,6.025419e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,7,support,5.982437e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.000000e+00,8,support,5.906038e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,1,support,3.044128e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,2,support,3.868113e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,3,support,4.149675e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,4,support,4.477825e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,5,support,4.889097e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,6,support,4.985199e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,7,support,4.911461e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.050000e+00,8,support,5.048628e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,1,novel,2.762527e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,2,novel,3.239975e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,3,novel,3.725786e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,4,novel,3.930597e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,5,novel,3.991518e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,6,novel,4.121952e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,7,novel,4.191113e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.100000e+00,8,novel,4.154568e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,1,novel,2.326241e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,2,novel,2.878475e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,3,novel,3.039131e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,4,novel,3.192511e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,5,novel,3.377829e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,6,novel,3.468866e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,7,novel,3.351898e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.150000e+00,8,novel,3.498154e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,1,support,2.032318e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,2,support,2.529907e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,3,support,2.641182e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,4,support,2.776699e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,5,support,2.922745e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,6,support,2.955227e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,7,support,3.017464e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.200000e+00,8,support,2.737894e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,1,novel,1.798687e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,2,novel,2.189150e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,3,novel,2.236223e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,4,novel,2.295628e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,5,novel,2.449398e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,6,novel,2.426605e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,7,novel,2.456255e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.250000e+00,8,novel,2.528067e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,1,novel,1.523085e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,2,novel,1.944275e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,3,novel,2.034254e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,4,novel,2.146606e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,5,novel,2.182684e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,6,novel,2.069283e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,7,novel,2.126236e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.300000e+00,8,novel,2.086773e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,1,novel,1.503420e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,2,novel,1.874380e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,3,novel,1.928158e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,4,novel,1.908131e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,5,novel,2.005901e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,6,novel,1.928644e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,7,novel,1.996593e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.350000e+00,8,novel,2.002220e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.400000e+00,1,novel,1.411753e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.400000e+00,2,novel,1.581593e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.400000e+00,3,novel,1.634846e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.400000e+00,4,novel,1.605015e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
1.400000e+00,5,novel,1.703033e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
